"Região Norte";3150;5451;231;2360;191;502;4;5;10459;4763;2191;95;139;796;162;3511;873;11270;8121;54274
".. Rondônia";284;699;37;319;27;72;-;-;1347;545;275;10;12;113;5;362;92;706;1414;6319
".. Acre";166;204;19;128;20;24;-;2;375;262;150;2;8;46;5;143;52;783;287;2676
".. Amazonas";708;1303;67;477;44;109;-;-;1725;971;440;10;30;172;49;625;225;2465;1476;10896
".. Roraima";59;168;5;114;7;23;1;-;264;108;71;1;5;25;1;65;37;112;342;1408
".. Pará";1607;2328;70;990;55;208;3;1;4622;2312;950;61;72;328;83;1833;331;6665;3367;25886
".. Amapá";89;224;9;77;3;22;-;1;296;151;75;4;3;35;5;222;46;284;403;1949
".. Tocantins";237;525;24;255;35;44;-;1;1830;414;230;7;9;77;14;261;90;255;832;5140
"Região Nordeste";11776;24539;1447;14741;1700;2639;8;39;60430;18666;10733;427;626;3456;595;11152;2550;60702;30388;256614
".. Maranhão";952;1495;163;951;71;192;-;3;4244;1345;843;26;70;312;97;1193;264;8347;2255;22823
".. Piauí";522;1162;84;675;82;169;-;1;3659;920;524;25;37;193;44;674;175;3303;1354;13603
".. Ceará";1884;4680;134;1639;434;432;2;5;9077;3260;1452;74;107;520;115;1804;429;10226;4904;41178
".. Rio Grande do Norte";583;1779;36;967;85;152;-;2;3712;1146;603;58;20;173;19;566;187;2933;1621;14642
".. Paraíba";738;1789;155;1277;101;205;1;5;4762;1536;765;29;31;272;23;726;192;6155;1934;20696
".. Pernambuco";2693;5568;292;3862;330;595;3;10;14644;3639;2570;55;108;817;76;1733;489;8669;7407;53560
".. Alagoas";805;1141;84;854;59;155;-;3;3621;1132;743;35;35;155;29;675;149;3970;2083;15728
".. Sergipe";393;1060;62;761;166;116;-;1;2567;762;511;23;22;140;24;536;124;1013;1312;9593
".. Bahia";3206;5865;437;3755;372;623;2;9;14144;4926;2722;102;196;874;168;3245;541;16086;7518;64791
"Região Sudeste";21861;72884;2448;24808;4267;8076;5;52;145857;54642;24700;1123;1446;9400;510;10809;4154;41250;59200;487492
".. Minas Gerais";5061;14178;631;5282;1237;1828;2;13;31135;11688;4976;279;401;1883;111;3000;900;13290;11445;107340
".. Espírito Santo";632;2716;106;953;199;331;-;2;6014;1608;875;40;51;275;34;444;212;865;3273;18630
".. Rio de Janeiro";5915;16756;665;7308;810;1693;2;14;34193;12527;5035;168;339;2404;165;2284;868;11402;14990;117538
".. São Paulo";10253;39234;1046;11265;2021;4224;1;23;74515;28819;13814;636;655;4838;200;5081;2174;15693;29492;243984
"Região Sul";6043;29427;593;8135;1413;2923;4;16;50612;18113;7934;152;574;2479;258;3404;1628;10072;19290;163070
".. Paraná";1960;9744;218;3086;579;1020;2;6;19454;6317;3093;58;184;935;127;1408;634;3073;8378;60276
".. Santa Catarina";1209;5448;118;1405;240;515;-;5;8962;3031;1353;33;87;440;35;640;292;2849;3890;30552
".. Rio Grande do Sul";2874;14235;257;3644;594;1388;2;5;22196;8765;3488;61;303;1104;96;1356;702;4150;7022;72242
"Região Centro-Oeste";3237;8500;259;3090;587;1016;-;7;18185;5984;3103;89;217;963;147;2135;1005;3628;10471;62623
".. Mato Grosso do Sul";563;1792;47;765;101;214;-;2;4121;1241;589;23;42;248;42;440;170;205;1957;12562
".. Mato Grosso";707;1585;65;618;105;194;-;-;3223;1185;519;27;48;202;33;540;223;1070;2563;12907
".. Goiás";1491;3531;114;1232;263;417;-;4;8042;2865;1499;31;73;381;52;831;395;2014;4310;27545
".. Distrito Federal";476;1592;33;475;118;191;-;1;2799;693;496;8;54;132;20;324;217;339;1641;9609
"Total";46067;140801;4978;53134;8158;15156;21;119;285543;102168;48661;1886;3002;17094;1672;31011;10210;126922;127470;1024073
